,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1528,22.47,-0.01548942992439828,0.6851785219632662,58.07162963671562,58.056140356797435,40.65756784952604,8.557708740234375,1.001547489181543,20000,882,0,13.088785886764526
1,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1625,32.65,-0.016017958517663945,0.6601013701695663,65.45614996690017,65.4401319357065,61.66483065531804,7.880809307098389,1.0005151372689467,40000,1485,1,24.602389097213745
2,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1656,53.8,-0.018316648893941863,0.6217699020336835,86.60017481094752,86.58185818990071,69.22407265565334,6.943606853485107,0.9993398525011845,60000,1845,2,36.2206084728241
3,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1632,102.73,-0.014292887645439269,0.5941853893108857,91.62718927432329,91.61289639106164,79.9608234393291,6.841545104980469,1.0002634566563826,80000,2046,3,48.995787143707275
4,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1650,156.48,-0.011923378765678559,0.567506485642531,68.35277594541893,68.34085241464469,82.88173398237961,6.648773193359375,1.000297142756291,100000,2169,4,60.60508489608765
5,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1663,217.94,-0.008046568816718764,0.5453384790665065,47.20383830437294,47.19579186072716,77.81939231187869,6.222443103790283,1.0000931792534316,120000,2260,5,72.14518904685974
6,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1641,252.83,-0.00832507977118859,0.53776904520316,39.11498504785391,39.106660033495,69.19496373029855,5.52249813079834,0.9998596054621232,140000,2337,6,85.31343698501587
7,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1646,295.72,-0.007708115153348981,0.5309195952537732,46.86783704513159,46.860128869765845,78.23933959618593,5.127928733825684,0.9994813479674168,160000,2396,7,97.18301916122437
8,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1656,371.58,-0.0049571473545466475,0.5041731329300465,70.53468483411349,70.52972770104041,75.98998295221573,3.9922444820404053,1.0009350133247865,180000,2443,8,108.64485573768616
9,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1649,436.61,-0.0029800314874125597,0.5062495186542854,85.38490515488844,85.38192515495496,73.61658319082015,2.7094526290893555,0.9993793904781342,200000,2487,9,121.24541091918945
10,/content/gdrive/My Drive/cs260r/CartPole-v1/ppo,1653,428.07,-0.002537386248318049,0.522714152893959,95.40314130049485,95.4006038616865,79.97476249597011,1.8637120723724365,0.9997565586597491,220000,2534,10,133.03570938110352
